meeting_number,meeting_name,meeting_official_name,year,meeting_key
0,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2023,2023,1140
1,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,2023,1141
2,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,2023,1142
3,Australian Grand Prix,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,2023,1143
4,Azerbaijan Grand Prix,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,2023,1207
5,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,2023,1208
6,Monaco Grand Prix,FORMULA 1 GRAND PRIX DE MONACO 2023,2023,1210
7,Spanish Grand Prix,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,2023,1211
8,Canadian Grand Prix,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,2023,1212
9,British Grand Prix,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,2023,1214
10,Hungarian Grand Prix,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,2023,1215
11,Belgian Grand Prix,FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,2023,1216
12,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,2023,1217
13,Italian Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023,2023,1218
14,Singapore Grand Prix,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023,2023,1219
15,Japanese Grand Prix,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023,2023,1220
16,Qatar Grand Prix,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,2023,1221
17,United States Grand Prix,FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023,2023,1222
18,Mexico City Grand Prix,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,2023,1223
19,São Paulo Grand Prix,FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,2023,1224
20,Las Vegas Grand Prix,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,2023,1225
21,Abu Dhabi Grand Prix,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023,2023,1226
